# ANIMAL  MOTHER    BYEAR     SEX       BWT 
1089      807       997       2         11.08
1138      807       998       2         6.04
1005      813       995       2         2.54
1210      804       1000      1         4.58
1132      804       998       2         10.1
990       800       995       1         5.89
1075      800       997       2         8.02
1088      805       997       1         3.38
1183      805       999       1         8.58
1095      811       997       2         11.46
1145      811       998       2         10.31
1190      811       999       1         5.43
1279      796       1002      1         4.79
1237      796       1001      2         3.12
904       796       993       2         8.89
985       796       995       2         9.56
1118      796       998       2         5.31
1166      796       999       1         7.16
1113      793       998       2         10.92
944       797       994       1         7.26
986       797       995       2         2.25
941       795       994       2         8.87
1229      818       1000      1         4.84
1058      818       996       2         8.54
954       803       994       2         12.84
1202      799       1000      1         5.17
1036      799       996       2         9.88
1074      799       997       2         11.73
1125      799       998       1         5.56
1231      820       1000      1         7.91
938       794       994       2         8.54
1270      815       1001      1         6.73
1012      815       995       2         7.95
934       792       994       2         7.67
1111      828       998       2         6.09
1001      851       995       2         5.5
1137      851       998       2         9.6
936       826       994       2         7.25
1068      833       997       2         10.07
1115      833       998       2         8.86
1208      843       1000      1         4.47
1251      846       1001      1         2.73
1240      836       1001      1         5.51
1030      836       996       2         9.02
1267      857       1001      1         4.05
1010      857       995       1         4.15
1054      857       996       2         11.49
1277      832       1002      1         7.89
1284      840       1002      1         3.48
1244      840       1001      1         5.41
989       840       995       2         1.68
1196      827       1000      1         0.27
1261      853       1001      1         8.47
1004      853       995       1         4.46
1051      853       996       1         12.15
1188      853       999       1         6.84
1285      842       1002      2         5.84
1207      842       1000      2         3.26
994       842       995       1         5.2
1129      842       998       1         5.74
714       485       988       2         10.41
805       502       990       1         8.83
656       502       986       2         8.59
885       502       992       2         13.62
999       502       995       2         4.2
1044      502       996       2         10.76
1087      502       997       2         10.62
1182      502       999       1         7.21
685       496       987       1         3.83
952       498       994       1         9.86
649       492       986       2         9.81
679       492       987       2         7.52
758       489       989       2         5.02
807       503       990       1         7.86
851       503       991       1         6.53
887       503       992       2         9.84
1060      510       996       1         5.31
856       506       991       2         8.11
700       506       987       1         4.73
739       506       988       2         5.8
776       506       989       2         5.85
969       506       994       1         9.57
1009      506       995       2         3.69
1098      506       997       2         9.39
759       490       989       1         6.72
688       497       987       2         4.11
711       516       987       1         8.05
827       488       991       1         3.28
673       488       987       1         4.44
754       488       989       1         3.19
981       488       995       1         3.46
691       499       987       1         6.13
705       555       987       1         3.27
976       555       994       1         4.79
979       557       994       1         11.81
675       523       987       2         6.07
757       523       989       2         4.83
818       550       990       1         6.97
784       550       989       1         9.15
802       534       990       2         12.22
690       534       987       1         5.83
697       544       987       2         7.85
893       544       992       2         7.03
1008      544       995       2         7.12
817       549       990       2         9.52
702       549       987       2         7.78
781       549       989       1         2.5
927       549       993       1         9.01
1101      549       997       2         5.07
890       541       992       2         11.9
747       517       989       1         8.33
749       520       989       1         5.34
740       546       988       1         6.19
795       524       990       1         7.19
677       524       987       1         1.53
874       524       992       2         9.65
902       524       993       2         6.27
940       524       994       1         5.49
984       524       995       1         2.68
916       537       993       2         6.26
959       537       994       2         9.66
744       594       988       2         7.81
786       594       989       2         5.35
806       583       990       2         10.63
850       583       991       2         6.52
1147      588       998       2         10.32
727       576       988       2         8.64
948       576       994       1         7.02
992       576       995       2         4.99
1176      576       999       2         11.22
728       577       988       2         10.7
884       577       992       2         11.03
949       577       994       2         9.18
844       579       991       2         8.22
995       579       995       2         3.36
919       584       993       2         9.76
963       584       994       2         10.53
1002      584       995       1         5.14
1050      584       996       1         10.23
1142      584       998       2         7.91
846       581       991       1         5.44
1042      581       996       1         7.79
715       565       988       2         11.56
834       570       991       2         5.43
761       570       989       1         8.21
1119      570       998       1         6.01
746       597       988       2         9.73
1018      597       995       1         3.06
1105      597       997       2         12.43
900       569       993       1         6.58
983       569       995       2         7.34
1066      569       997       2         10.67
865       598       991       2         12.43
932       598       993       1         5.32
911       580       993       1         8.46
858       589       991       2         6.74
777       589       989       2         11.29
839       575       991       2         8.23
724       575       988       2         10.65
842       578       991       1         4.27
950       578       994       1         7.75
1038      578       996       1         4.18
862       592       991       2         7.34
1016      592       995       2         6.77
765       614       989       1         11.4
881       614       992       2         5.43
1033      614       996       1         10.65
1073      614       997       2         7.66
767       621       989       1         7.31
783       631       989       2         6.92
813       625       990       1         7.37
968       625       994       2         8.47
891       624       992       2         9.75
923       624       993       1         9.25
855       626       991       2         5.09
1097      626       997       1         6.95
1191      626       999       1         6.95
766       620       989       2         9.79
760       611       989       2         8.97
830       609       991       2         9.19
1114      609       998       1         5.64
763       613       989       2         3.66
800       616       990       1         5.27
725       616       988       2         10.29
810       623       990       2         6.62
854       623       991       2         4.84
922       623       993       1         8.95
966       623       994       1         12.58
1052      623       996       2         10.09
894       628       992       2         9.62
1011      628       995       2         2.17
873       610       992       2         14.87
939       610       994       2         14.16
1163      610       999       2         11.97
713       602       988       2         11.87
861       664       991       2         8.17
1272      664       1001      1         1.98
974       664       994       2         9.3
1192      664       999       1         2.73
920       658       993       2         9.5
965       658       994       1         7.35
1093      658       997       2         7.79
838       652       991       2         2.53
1200      652       1000      2         6.94
879       652       992       2         6.55
988       652       995       1         1.41
1122      652       998       2         6.24
1169      652       999       1         6.16
1151      661       998       2         7.67
808       657       990       2         8.86
870       641       992       1         4.36
824       642       991       2         0.79
751       642       989       2         6.48
898       646       993       2         9.31
935       646       994       2         9.38
980       646       995       1         5.15
1107      646       998       2         6.55
1235      674       1001      2         7.2
886       693       992       2         11.28
825       671       991       2         7.81
1209      690       1000      1         3.78
1080      690       997       1         5.85
880       682       992       1         8.51
857       700       991       1         2.19
1225      700       1000      2         4.85
926       700       993       1         7.59
970       700       994       2         8.67
1149      700       998       2         6.36
860       703       991       2         7.46
930       703       993       2         8.87
973       703       994       1         7.8
875       677       992       1         5.44
1003      694       995       2         5.93
1092      694       997       1         6.97
878       681       992       2         9.72
1121      680       998       2         13.01
993       686       995       2         7.8
840       683       991       1         8.05
1061      711       996       1         7.27
909       685       993       2         5.99
1037      685       996       2         9.42
1128      685       998       2         4.86
853       695       991       1         4.67
937       673       994       2         8.19
982       673       995       1         1.93
1109      673       998       2         6.01
845       691       991       2         8.15
1288      691       1002      1         7.44
1248      691       1001      2         5.7
953       691       994       2         10.43
996       691       995       1         4.22
1039      691       996       2         9.21
833       676       991       1         6.55
1214      692       1000      2         5.27
915       692       993       2         10.18
958       692       994       1         4.99
998       692       995       1         3.65
1167      719       999       2         7.5
1218      735       1000      1         4.97
1049      735       996       2         10.11
1091      735       997       2         9.67
1140      735       998       2         7.29
1055      740       996       2         7.47
1063      755       997       2         6.9
1112      755       998       2         9.77
1292      768       1002      1         5.94
956       768       994       1         4.27
1041      768       996       1         2.54
1029      761       996       2         4.13
1071      761       997       2         8.37
1120      761       998       2         8.36
1168      761       999       1         4.79
867       747       992       2         9.77
899       759       993       1         9.01
1065      759       997       2         12.92
929       782       993       1         9.42
1015      782       995       1         6.42
967       774       994       2         9.59
918       773       993       2         7.35
961       773       994       2         8.54
1057      781       996       2         10.42
1154      781       998       2         5.35
1059      784       996       2         9.57
1104      784       997       2         10.81
1156      784       998       2         9.67
913       767       993       2         11.6
1040      767       996       2         8.44
987       762       995       2         2.69
933       749       994       2         11.17
1007      775       995       2         6.87
1053      775       996       2         3.58
871       754       992       2         9.89
906       765       993       2         15.35
946       765       994       1         14.43
1034      765       996       1         11.02
1170      765       999       1         7.98
1253      769       1001      1         0.97
914       769       993       2         5.14
1043      769       996       1         2.47
1134      769       998       1         0.43
1155      973       998       2         8.48
1110      982       998       2         13
1108      980       998       2         4.14
780       388       989       2         8.97
1302      1146      1002      2         7.91
820       448       990       1         9.82
706       448       987       2         6.6
896       448       992       2         10.13
821       416       990       2         4.6
556       416       983       2         6.22
595       416       984       2         6
745       416       988       2         8.74
1295      917       1002      1         8.51
1046      917       996       2         11.38
1136      917       998       2         10.07
1216      1000      1000      1         6.35
1222      922       1000      1         1.98
1094      922       997       2         10.14
1221      966       1000      1         6.23
1144      966       998       1         12.5
552       339       983       2         5.92
632       339       985       2         6.19
665       339       986       2         9.36
704       339       987       2         7.07
475       339       981       2         5.31
339       157       976       1         2.75
360       261       977       2         5.91
863       310       991       2         6
478       310       981       2         5.25
557       252       983       1         8.69
789       252       989       2         10.12
341       252       976       2         8.51
367       252       977       2         7.98
417       252       979       2         7.72
513       155       982       2         5.64
450       155       980       2         5.79
809       305       990       2         11.3
540       305       983       2         5.55
584       305       984       1         5.54
622       305       985       2         7.23
735       305       988       1         8.3
773       305       989       1         6.41
888       305       992       2         11.13
261       152       973       1         4.33
305       152       975       1         6.38
1103      929       997       2         10.6
1271      972       1001      2         7.71
1305      1015      1002      1         4.95
603       454       985       2         8.59
485       151       982       1         5.93
454       151       981       1         1.82
396       151       979       2         7.13
709       418       987       2         7.47
406       279       979       2         6.47
562       344       984       2         12.75
422       344       980       2         10.37
712       395       988       2         11.48
421       149       980       2         11.16
453       149       981       2         8.62
344       149       977       1         10.11
395       149       979       1         7.4
242       149       972       2         9.89
836       402       991       1         10.41
680       402       987       1         7.48
722       402       988       2         12.92
402       233       979       1         10.75
279       147       974       1         6.89
329       147       976       2         6.97
530       325       983       2         9.08
463       325       981       2         8.85
378       256       978       1         6.99
351       144       977       2         5.75
583       467       984       1         6.84
693       467       987       1         6.46
733       467       988       2         9.85
771       467       989       2         8.24
917       467       993       1         7.23
960       467       994       2         7.52
1000      467       995       1         6.7
1045      467       996       2         7.46
502       259       982       1         2.77
538       259       983       2         6.97
